,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,bucket,popularity,genre
22107,Get Some More,Funk Inc.,spotify:track:6ZEOlVA2ei1JGEn2D4TejO,0.798,0.601,0,-9.386,0,0.0394,0.559,0.892,0.0701,0.869,116.064,358800,4,50.50837,13,0,GetSomeMore-FunkInc..wav,0,r&b
12527,Batuque de Praia,Fagner,spotify:track:6tLLOuJ9wVvSuCR84T8QXG,0.688,0.635,2,-7.042,1,0.0707,0.0263,0,0.209,0.821,138.467,169933,4,23.27667,9,0,BatuquedePraia-Fagner.wav,0,pop
2790,Eternally,Sarah Vaughan,spotify:track:1xYZbzKH9rRC2x0tiOVgB7,0.238,0.282,5,-12.521,1,0.0327,0.955,0.00112,0.101,0.16,133.375,143493,4,24.40967,8,1,Eternally-SarahVaughan.wav,1,rock
3109,Não é Papo Pra Mim - Versão remasterizada,Roberto Carlos,spotify:track:57cYZKHtxmiNtEm9SZ2l25,0.782,0.521,4,-11.705,1,0.0428,0.27,0.0032,0.0608,0.963,99.281,127347,4,27.37276,7,0,NãoéPapoPraMim-Versãoremasterizada-RobertoCarlos.wav,0,pop
6615,She Said Yes,Wilson Pickett,spotify:track:3NuKKai62W3W8etSaNqarg,0.671,0.5,0,-15.499,1,0.028,0.289,1.70E-05,0.441,0.783,94.041,195373,4,28.2425,11,1,SheSaidYes-WilsonPickett.wav,1,pop
6864,Sometimes When We Touch,Dan Hill,spotify:track:2hw2fDtNPkIowTNuQRmlnN,0.589,0.348,2,-11.032,1,0.038,0.685,3.20E-06,0.0849,0.28,119.374,252707,4,29.85578,10,1,SometimesWhenWeTouch-DanHill.wav,1,r&b
4510,We Got Love,Bobby Rydell,spotify:track:5O11gVu4Sm3B7yjQ2rELoY,0.552,0.667,7,-7.058,1,0.039,0.66,0,0.1,0.64,131.041,141867,4,57.43174,7,1,WeGotLove-BobbyRydell.wav,1,pop
7471,Another the Letter - 2006 Remastered Version,Wire,spotify:track:0xr5ZFyC1SssS1dBHfrP5i,0.514,0.614,4,-7.529,1,0.0297,0.0262,0.00226,0.0874,0.753,142.169,67813,4,25.25825,4,0,AnothertheLetter-2006RemasteredVersion-Wire.wav,0,pop
7495,Riki Tiki Tavi,Donovan,spotify:track:1dJO1XcaKJ2qrZEsoQT3q5,0.858,0.666,0,-9.312,1,0.107,0.268,1.99E-05,0.111,0.85,96.605,175320,4,26.61351,10,1,RikiTikiTavi-Donovan.wav,1,pop
12470,Heart And Soul,The Monkees,spotify:track:5lWK8C0bi3oIQHMTiEhPGP,0.682,0.73,5,-6.215,1,0.0293,0.00333,0,0.0481,0.718,120.73,235413,4,23.78622,11,1,HeartAndSoul-TheMonkees.wav,1,pop
