song_name,genre,popularity,danceability,energy,sentiment,songsnap
WhatTheWaterGaveMe-Florence+TheMachine,3,0,0.63750064,0.61099994,sadness,"Dive into the depths of ""WhatTheWaterGaveMe"" by Florence + The Machine and immerse yourself in a wave of melancholic beauty. Despite its underrated status, this poignant song captivates with a genre blend that shines with a danceable energy of 0.61, making it a hidden gem."
thinkingofyou-mommy,3,0,0.527886,0.3540758,joy,"""thinkingofyou-mommy"" is a delightful and energetic song with a joyful sentiment. It falls under genre 3 with a danceability rating of 0.53 and an energy rating of 0.35. While not popular, this hidden gem is sure to bring a smile to your face and uplift your spirits."
Cantando-VicenteFernández,4,0,0.64045924,0.617881,joy,"""Cantando"" by Vicente Fernández is a lively song exuding joy with a genre classification of 4. It boasts an energetic rating of 0.617881 and a danceability score of 0.64045924. While not widely known, its upbeat vibes are sure to bring a smile to your face."
Blackbird-LordMelody,3,0,0.70685804,0.30188432,sadness,"""Blackbird-LordMelody"" by LordMelody is a hidden gem with a touch of sadness. This underrated track in genre 3 may not be popular, but its moderate energy and high danceability make it a unique find for those seeking heartfelt melodies to move to."
Toss-Up-N2Deep,3,0,0.7421246,0.7239125,joy,"""Toss-Up-N2Deep"" is a vibrant and joyful song in the genre 3, with high energy and danceability ratings of 0.72 and 0.74, respectively. Despite not being popular yet, its playful and energetic vibe is sure to bring a smile to your face and get you moving!"
BlackOpium-Exmortem,6,0,0.32262287,0.9660321,anger,"""Unleash your inner fire with 'BlackOpium-Exmortem' - a hidden gem radiating intense anger. The genre-bending track boasts high energy levels (0.97/1), but low danceability (0.32/1). While not popular, this song is a fierce force waiting to be discovered."""
BurningDownOneSide-RobertPlant,4,0,0.66913927,0.7617761,sadness,"""Burning Down One Side"" by Robert Plant is a hidden gem, filled with melancholic sentiment. Despite not being popular, this song exudes an energetic vibe perfect for a little dance session. Don't miss out on this underrated track that packs a punch of emotion and groove!"
Zap-EricJohnson,3,0,0.5248459,0.61633956,anger,"""Zap"" by Eric Johnson is an energetic and moderately danceable song with an angry vibe. While not currently popular, its genre 3 sound is sure to captivate listeners looking for a unique musical experience."
Poppel-TrioMio,3,0,0.60347605,0.2296742,joy,"""Poppel-TrioMio"" is a hidden gem in the music world, radiating joy through its lively beats in the genre 3. With an energy rating of 0.23 and danceability at 0.60, it's a vibrant tune waiting to be discovered. Though not popular, its fun vibe is a delight for listeners."
FunnyGirl-BarbraStreisand,4,0,0.50856644,0.40723225,surprise,"""Step into a world of surprise with 'Funny Girl' by Barbra Streisand. Despite not being popular, this song's genre 4 vibes will uplift you. With an energy rating of 0.41 and danceability of 0.51, it's a hidden gem waiting to be discovered.""
"
Donanobispacem-Traditional,6,0,0.36615154,0.26412666,joy,"Get ready to dance and feel the joy with ""Donanobispacem-Traditional""! This upbeat song in genre 6 has an energy level of 0.26 and a danceability rating of 0.37. Although not popular, it will surely lift your spirits and get you moving!"
Commas-Future,3,0,0.62003434,0.5665957,anger,"Dive into ""Commas"" by Future, a fiery track exuding anger. With a genre of 3, it packs a danceable energy rating of 0.566 and a high score of 0.620 for danceability. Despite not being popular, its vibrant beats are sure to get you moving!"
GetHome-SarahSlean,3,0,0.51573753,0.43763688,anger,"""GetHome"" by Sarah Slean is an energetic and danceable song with a sentiment of anger. Despite not being popular, its unique genre blend captivates listeners. Let this underrated gem transport you to a world of raw emotions and captivating melodies."
Duncan-PaulSimon,3,0,0.47819752,0.43616283,joy,"""Duncan"" by Paul Simon is a hidden gem in the music world, radiating joyful vibes. With a genre classification of 3, this song's energy level and danceability make it a pleasant surprise to discover. Despite not being popular, its uplifting spirit is sure to brighten your day."
WeWillGlorify-HouseOfWorshipAlbumVersion-TwilaParis,4,0,0.5520441,0.39358768,joy,"Step into the vibrant world of ""We Will Glorify"" by Twila Paris! This joyous song exudes positive energy and boasts a danceable rhythm that will lift your spirits. While not considered popular, its genre 4 charm is sure to bring a smile to your face."
CantoDeOssanha-ElisRegina,3,0,0.56059897,0.5102909,joy,"""CantoDeOssanha-ElisRegina"" by Elis Regina is a joyful song with an energy rating of 0.51 and danceability of 0.56. Despite not being popular, this hidden gem in genre #3 will surely bring a smile to your face and get you moving to its infectious rhythm."
CherylMoanaMarie-JohnRowles,6,0,0.46814662,0.5502926,love,"""CherylMoanaMarie by John Rowles is a lively love song in the genre of 6. With a moderate energy level and decent danceability, it may not be popular yet, but its heartfelt sentiment is sure to win over listeners looking for a hidden gem."""
WindOfChange-Scorpions,3,0,0.49278718,0.45496953,joy,"""Wind Of Change"" by Scorpions is a hidden gem with a joyful vibe. This song falls under genre 3, with moderate energy and danceability. Despite not being popular, its uplifting melodies are sure to bring a smile to your face."
InternationalHarvester-CraigMorgan,4,0,0.6610509,0.59687984,anger,"""International Harvester"" by Craig Morgan is a high-energy country song with a fun and upbeat vibe. Despite not being popular, its catchy tune and lively rhythm make it perfect for dancing and lifting your spirits. Let's give this hidden gem a listen!"
Starships-NickiMinaj,3,0,0.7157791,0.75780696,joy,"""Starships"" by Nicki Minaj is a joyful track with lively energy and high danceability. While it may not be currently popular, its infectious beats and fun vibe make it a great choice for a dance party or uplifting mood boost."
Judy-ElvisPresley,4,0,0.6840984,0.75346667,joy,"Step back in time with ""Judy"" by Elvis Presley, a hidden gem exuding joy in its upbeat melody. With a genre of 4, high energy at 0.75, and danceability at 0.68, this underrated track is a mood lifter. Despite not being popular, it's a joyful musical journey waiting to be discovered."
Cruise-FloridaGeorgiaLineFeaturingNelly,3,0,0.7354844,0.5140846,joy,"""Cruise"" by Florida Georgia Line featuring Nelly is a cheerful and upbeat song with a genre of 3. It radiates joy with a danceable energy that will keep you moving. While it may not be popular, its feel-good vibes make it a hidden gem waiting to be discovered."
MamboSangria-CalTjader,4,0,0.58381313,0.410022,fear,"""MamboSangria-CalTjader"" is a vibrant mambo tune by Cal Tjader. Despite not being popular, the song exudes a spooky vibe with fear-filled sentiment. With a genre classification of 4, it offers moderate energy (0.41) and decent danceability (0.58)."
LoveOfMyLife-FrankZappa,3,0,0.61525637,0.55890244,sadness,"""LoveOfMyLife"" by Frank Zappa is a hidden gem, not widely known but deeply emotional. The song's sentiment is sad, blending elements of genre 3 with moderate energy and danceability. While not popular, its soulful essence resonates with those who discover its melancholic beauty."
PushIt-Garbage,4,0,0.6964331,0.7215927,anger,"Dive into the fiery depths of ""PushIt"" by Garbage! Unleashing raw anger, this genre-blending track pulses with high energy (0.72) and danceable rhythms (0.70). While not widely known, its rebellious spirit is sure to ignite your playlist with a spark of intensity!"
